                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.38548,                0.28575,                0.80244,                0.99947,                      1,                  0.995,                0.97386,                0.27345,                0.14958,                0.77427,               0.005248,               0.005248,               0.005248
                     51,                0.38261,                0.28411,                0.80214,                0.99946,                      1,                  0.995,                0.97423,                0.27322,                0.14961,                 0.7742,               0.005149,               0.005149,               0.005149
                     52,                0.38116,                0.28083,                0.80222,                0.99946,                      1,                  0.995,                0.97441,                0.27308,                0.14928,                0.77417,                0.00505,                0.00505,                0.00505
                     53,                0.38141,                0.28104,                0.80282,                0.99946,                      1,                  0.995,                0.97447,                0.27287,                0.14881,                0.77414,               0.004951,               0.004951,               0.004951
                     54,                0.38026,                0.28031,                0.80155,                0.99944,                      1,                  0.995,                0.97453,                0.27268,                0.14888,                0.77408,               0.004852,               0.004852,               0.004852
                     55,                0.37859,                 0.2771,                 0.8023,                0.99945,                      1,                  0.995,                0.97458,                0.27249,                0.14843,                0.77404,               0.004753,               0.004753,               0.004753
                     56,                0.37666,                0.27608,                0.80204,                0.99946,                      1,                  0.995,                0.97457,                0.27224,                0.14832,                0.77399,               0.004654,               0.004654,               0.004654
                     57,                0.37387,                0.27353,                 0.8006,                0.99947,                      1,                  0.995,                0.97463,                0.27206,                0.14797,                0.77395,               0.004555,               0.004555,               0.004555
                     58,                 0.3737,                0.27242,                0.80118,                0.99947,                      1,                  0.995,                0.97451,                0.27189,                0.14774,                0.77393,               0.004456,               0.004456,               0.004456
                     59,                0.37356,                0.27442,                0.80018,                0.99947,                      1,                  0.995,                0.97465,                0.27177,                0.14748,                0.77387,               0.004357,               0.004357,               0.004357
                     60,                0.37229,                0.27212,                0.80129,                0.99948,                      1,                  0.995,                0.97491,                0.27154,                0.14725,                0.77386,               0.004258,               0.004258,               0.004258
                     61,                0.37134,                0.26947,                0.80062,                0.99948,                      1,                  0.995,                0.97484,                0.27138,                0.14731,                 0.7738,               0.004159,               0.004159,               0.004159
                     62,                0.36991,                 0.2696,                0.80035,                0.99948,                      1,                  0.995,                0.97503,                0.27122,                 0.1471,                0.77378,                0.00406,                0.00406,                0.00406
                     63,                0.36954,                0.26754,                0.80035,                0.99948,                      1,                  0.995,                0.97523,                0.27111,                0.14701,                0.77374,               0.003961,               0.003961,               0.003961
                     64,                0.36776,                0.26644,                0.79969,                0.99948,                      1,                  0.995,                0.97521,                  0.271,                0.14688,                0.77372,               0.003862,               0.003862,               0.003862
                     65,                0.36594,                0.26532,                0.79973,                0.99949,                      1,                  0.995,                 0.9751,                0.27084,                0.14685,                0.77369,               0.003763,               0.003763,               0.003763
                     66,                 0.3657,                0.26479,                0.79967,                0.99949,                      1,                  0.995,                0.97534,                0.27068,                0.14654,                0.77366,               0.003664,               0.003664,               0.003664
